date,season,day_of_week,zone,crew_id,visit_order,prev_tower,tower_id,x,y,weather,precip_mm,wind_kmph,temp_c,load_level,load_category,voltage_v,frequency_hz,device_failure,tree_fall,line_fault,any_issue,risk_device,risk_tree,risk_line,risk_any
2023-01-01,Winter,Sun,North,Crew-A,1,,28,39.227,89.878,Heatwave,0.0,11.86,42.8,0.539,Medium,226.34,49.921,0,0,0,0,0.0763,0.0535,0.0852,0.2001
2023-01-01,Winter,Sun,North,Crew-A,2,28.0,24,38.328,86.016,Heatwave,0.0,11.86,42.8,1.0,High,214.33,49.807,0,0,1,1,0.1646,0.0355,0.1019,0.2764
2023-01-01,Winter,Sun,North,Crew-A,3,24.0,33,39.586,80.945,Heatwave,0.0,11.86,42.8,0.931,High,222.16,49.925,0,0,0,0,0.2014,0.0827,0.1542,0.3804
2023-01-01,Winter,Sun,North,Crew-A,4,33.0,50,33.821,78.602,Heatwave,0.0,11.86,42.8,0.708,High,223.99,49.914,0,0,0,0,0.2894,0.0843,0.1518,0.4481
2023-01-01,Winter,Sun,North,Crew-A,5,50.0,34,33.328,74.411,Heatwave,0.0,11.86,42.8,0.742,High,224.52,49.94,0,0,0,0,0.1125,0.0593,0.1649,0.3028
2023-01-01,Winter,Sun,North,Crew-A,6,34.0,32,30.908,71.526,Heatwave,0.0,11.86,42.8,0.876,High,223.76,49.85,0,0,0,0,0.2123,0.0431,0.2239,0.4151
2023-01-01,Winter,Sun,North,Crew-A,7,32.0,18,24.558,71.181,Heatwave,0.0,11.86,42.8,0.895,High,223.1,50.0,0,0,0,0,0.1176,0.043,0.1649,0.2949
2023-01-01,Winter,Sun,North,Crew-A,8,18.0,10,18.082,67.324,Heatwave,0.0,11.86,42.8,0.847,High,224.53,49.822,1,0,0,1,0.1429,0.1125,0.0494,0.277
2023-01-01,Winter,Sun,North,Crew-A,9,10.0,20,10.829,77.366,Heatwave,0.0,11.86,42.8,1.0,High,225.06,49.912,0,0,0,0,0.1964,0.0655,0.0443,0.2824
2023-01-01,Winter,Sun,North,Crew-A,10,20.0,13,15.231,80.728,Heatwave,0.0,11.86,42.8,0.563,Medium,214.91,49.887,0,0,1,1,0.0752,0.0899,0.3365,0.4415
2023-01-01,Winter,Sun,North,Crew-A,11,13.0,5,25.625,88.835,Heatwave,0.0,11.86,42.8,0.644,Medium,225.12,49.946,0,0,0,0,0.0426,0.0386,0.1423,0.2105
2023-01-01,Winter,Sun,North,Crew-A,12,5.0,44,35.525,62.637,Heatwave,0.0,11.86,42.8,0.447,Medium,227.14,49.932,0,0,0,0,0.1219,0.0426,0.1014,0.2445
2023-01-01,Winter,Sun,North,Crew-A,13,44.0,27,37.161,62.739,Heatwave,0.0,11.86,42.8,0.513,Medium,226.93,49.962,0,0,0,0,0.0377,0.0258,0.165,0.2172
2023-01-02,Winter,Mon,East,Crew-B,1,,26,81.949,53.831,Foggy,0.0,0.4,14.1,0.726,High,219.53,49.827,0,0,1,1,0.1641,0.0668,0.0975,0.296
2023-01-02,Winter,Mon,East,Crew-B,2,26.0,38,83.894,63.78,Foggy,0.0,0.4,14.1,0.612,Medium,225.91,49.919,0,0,0,0,0.0296,0.0796,0.1015,0.1975
2023-01-02,Winter,Mon,East,Crew-B,3,38.0,29,84.656,71.187,Foggy,0.0,0.4,14.1,0.777,High,219.87,49.805,0,0,1,1,0.1443,0.0895,0.1036,0.3015
2023-01-02,Winter,Mon,East,Crew-B,4,29.0,45,80.059,77.881,Foggy,0.0,0.4,14.1,1.0,High,221.59,49.844,0,0,0,0,0.0285,0.0997,0.0739,0.19
